,,,,,,,
,,,,,,,
,,,,,,,
Project Number Name,Project Number,Project Name,Exe Proj Region,Project Description,Category,Charging,Project Status
507192: OLYMEL ST.ESPRIT-ENG (1. Backlog Project),507192,OLYMEL ST.ESPRIT-ENG,NAM,,1. Backlog Project,,Active
507195: PBC SAN ANTONIO-COMM (1. Backlog Project),507195,PBC SAN ANTONIO-COMM,NAM,,1. Backlog Project,,Active
507199: RECKITT BENCKISER PV (1. Backlog Project),507199,RECKITT BENCKISER PV,INDIA,,1. Backlog Project,,Active
507200: THAI OIL ETP DOSING (1. Backlog Project),507200,THAI OIL ETP DOSING,ANZ,,1. Backlog Project,,Active
5072000: THAI OIL ETP DOSING (1. Backlog Project),5072000,THAI OIL ETP DOSING,,,1. Backlog Project,,Active
507201: CREE MOHAWK UPW-ENG~ (1. Backlog Project),507201,CREE MOHAWK UPW-ENG~,NAM,,1. Backlog Project,,Active
507202: PIZELLE SPARE AC UNI (1. Backlog Project),507202,PIZELLE SPARE AC UNI,NAM,,1. Backlog Project,,Active
"507208: GREENVILLE, PA WW TR (1. Backlog Project)",507208,"GREENVILLE, PA WW TR",NAM,,1. Backlog Project,,Active
507218: BURNS & MCDONNELL PR (1. Backlog Project),507218,BURNS & MCDONNELL PR,ANZ,,1. Backlog Project,,Active
507220: PEPSICO GF MEDELLIN- (1. Backlog Project),507220,PEPSICO GF MEDELLIN-,LAM,,1. Backlog Project,,Active
507228: PILOT-MOSAIC PLANT C (1. Backlog Project),507228,PILOT-MOSAIC PLANT C,NAM,,1. Backlog Project,,Active
507235: SOUTH DAVIS SEWER DI (1. Backlog Project),507235,SOUTH DAVIS SEWER DI,NAM,,1. Backlog Project,,Active
507242: COKE DENVER 350 GPM (1. Backlog Project),507242,COKE DENVER 350 GPM,NAM,,1. Backlog Project,,Active
507245: DSM NUTRITIONAL PROD (1. Backlog Project),507245,DSM NUTRITIONAL PROD,NAM,,1. Backlog Project,,Active
507258: ST.PHILLIPPE MBBR-DA (1. Backlog Project),507258,ST.PHILLIPPE MBBR-DA,NAM,,1. Backlog Project,,Active
507260: MOLDING TOOL 2021-MA (1. Backlog Project),507260,MOLDING TOOL 2021-MA,EUR,,1. Backlog Project,,Active
507267: CHIYODA DESALINATION (1. Backlog Project),507267,CHIYODA DESALINATION,ANZ,,1. Backlog Project,,Active
507273: LACHUTTE MANGAZUR EQ (1. Backlog Project),507273,LACHUTTE MANGAZUR EQ,NAM,,1. Backlog Project,,Active
507278: CARCARA FPSO -SINGAP (1. Backlog Project),507278,CARCARA FPSO -SINGAP,ANZ,,1. Backlog Project,,Active
507281: KOFFOLK-ENG~AUTOMATI (1. Backlog Project),507281,KOFFOLK-ENG~AUTOMATI,EUR,,1. Backlog Project,,Active
507283: KAOHSIUNG TPC HSINTA (1. Backlog Project),507283,KAOHSIUNG TPC HSINTA,GRC,,1. Backlog Project,,Active
507288: SCANDEX TEXTILES LTD (1. Backlog Project),507288,SCANDEX TEXTILES LTD,EUR,,1. Backlog Project,,Active
507292: ST.PAUL ACCELETOR PR (1. Backlog Project),507292,ST.PAUL ACCELETOR PR,NAM,,1. Backlog Project,,Active
507296: BASF PORT ARTHUR 5 Y (1. Backlog Project),507296,BASF PORT ARTHUR 5 Y,NAM,,1. Backlog Project,,Active
507299: GLOBAL FOUNDRIES F10 (1. Backlog Project),507299,GLOBAL FOUNDRIES F10,NAM,,1. Backlog Project,,Active
507300: COCO COLA LONDONDERR (1. Backlog Project),507300,COCO COLA LONDONDERR,NAM,,1. Backlog Project,,Active
507307: NAURU 2X 2LMD SWRO-E (1. Backlog Project),507307,NAURU 2X 2LMD SWRO-E,ANZ,,1. Backlog Project,,Active
507311: NOR-CAL BEVERAGE ANE (1. Backlog Project),507311,NOR-CAL BEVERAGE ANE,NAM,,1. Backlog Project,,Active
507312: KIWS BRU ENG.ONLY-EN (1. Backlog Project),507312,KIWS BRU ENG.ONLY-EN,ANZ,,1. Backlog Project,,Active
507313: ST MICROELECTRONICS (1. Backlog Project),507313,ST MICROELECTRONICS,EUR,,1. Backlog Project,,Active
507323: EZ11803 - L'OREAL SI (1. Backlog Project),507323,EZ11803 - L'OREAL SI,EUR,,1. Backlog Project,,Active
507326: EZ31805 - L'OREAL CA (1. Backlog Project),507326,EZ31805 - L'OREAL CA,EUR,,1. Backlog Project,,Active
507328: EZ32003 - REHABILITA (1. Backlog Project),507328,EZ32003 - REHABILITA,EUR,,1. Backlog Project,,Active
507334: FEDRIGONI ARCO WWTP- (1. Backlog Project),507334,FEDRIGONI ARCO WWTP-,EUR,,1. Backlog Project,,Active
507343: BIO TREATMENT (MBR) (1. Backlog Project),507343,BIO TREATMENT (MBR),,,1. Backlog Project,,Active
507365: SI JOHOR PUB 03 EQUI (1. Backlog Project),507365,SI JOHOR PUB 03 EQUI,APAC,,1. Backlog Project,,Active
507366: SI JOHOR PUB03 IC SU (1. Backlog Project),507366,SI JOHOR PUB03 IC SU,APAC,,1. Backlog Project,,Active
507368: EZ61802 - SONARA-ENG (1. Backlog Project),507368,EZ61802 - SONARA-ENG,EUR,,1. Backlog Project,,Active
507369: EY61501 - CONTAINERS (1. Backlog Project),507369,EY61501 - CONTAINERS,EUR,,1. Backlog Project,,Active
507372: BEDOK MEMBRANE REPLA (1. Backlog Project),507372,BEDOK MEMBRANE REPLA,ANZ,,1. Backlog Project,,Active
507374: TUAS BIOSOLIDS AIR M (1. Backlog Project),507374,TUAS BIOSOLIDS AIR M,APAC,,1. Backlog Project,,Active
507376: CENTRAL INTERCEPTOR (1. Backlog Project),507376,CENTRAL INTERCEPTOR,ANZ,,1. Backlog Project,,Active
507563: QATAR MASSAIEED(WORL (1. Backlog Project),507563,QATAR MASSAIEED(WORL,MEA,,1. Backlog Project,,Active
507572: THAI UTILITY OIL ETP (1. Backlog Project),507572,THAI UTILITY OIL ETP,APAC,,1. Backlog Project,,Active
507573: MCCAIN FOODS GB LTD- (1. Backlog Project),507573,MCCAIN FOODS GB LTD-,EUR,,1. Backlog Project,,Active
507586: EZ31701 - REHAB INCI (1. Backlog Project),507586,EZ31701 - REHAB INCI,EUR,,1. Backlog Project,,Active
507599: IKRA EXTENSION-ENG~I (1. Backlog Project),507599,IKRA EXTENSION-ENG~I,EUR,,1. Backlog Project,,Active
507608: EXLEON LIMERICK RENE (1. Backlog Project),507608,EXLEON LIMERICK RENE,NAM,,1. Backlog Project,,Active
507610: GEORGES CREEK-ENG~DO (1. Backlog Project),507610,GEORGES CREEK-ENG~DO,NAM,,1. Backlog Project,,Active
507616: ABBOTT HOT WATER SAN (1. Backlog Project),507616,ABBOTT HOT WATER SAN,NAM,,1. Backlog Project,,Active
507620: ALMEX-COMMISSIONING~ (1. Backlog Project),507620,ALMEX-COMMISSIONING~,LAM,,1. Backlog Project,,Active
507636: RNG ENERGY LINDEN NJ (1. Backlog Project),507636,RNG ENERGY LINDEN NJ,NAM,,1. Backlog Project,,Active
507669: PONCE NUEVA WTP-ENG~ (1. Backlog Project),507669,PONCE NUEVA WTP-ENG~,NAM,,1. Backlog Project,,Active
507670: NEWMONT MIDNITE MINE (1. Backlog Project),507670,NEWMONT MIDNITE MINE,NAM,,1. Backlog Project,,Active
507681: SHAMATTAWA FN-PRE-RE (1. Backlog Project),507681,SHAMATTAWA FN-PRE-RE,NAM,,1. Backlog Project,,Active
507703: SHARMIN GROUP 7.2 ML (1. Backlog Project),507703,SHARMIN GROUP 7.2 ML,INDIA,,1. Backlog Project,,Active
507704: BESIX WTP-PRE-RELEAS (1. Backlog Project),507704,BESIX WTP-PRE-RELEAS,MEA,,1. Backlog Project,,Active
507739: EUROPE - PUMP SKID V (1. Backlog Project),507739,EUROPE - PUMP SKID V,EUR,,1. Backlog Project,,Active
507743: EUROPE - MOBILEFLOW (1. Backlog Project),507743,EUROPE - MOBILEFLOW,EUR,,1. Backlog Project,,Active
507746: EUROPE - DP50 UPGRAD (1. Backlog Project),507746,EUROPE - DP50 UPGRAD,EUR,,1. Backlog Project,,Active
507750: EUROPE - PUMP SKIDS (1. Backlog Project),507750,EUROPE - PUMP SKIDS,EUR,,1. Backlog Project,,Active
507754: EUROPE - MPAK 40 UPG (1. Backlog Project),507754,EUROPE - MPAK 40 UPG,EUR,,1. Backlog Project,,Active
507767: DANONE IRAPUATO WAST (1. Backlog Project),507767,DANONE IRAPUATO WAST,LAM,,1. Backlog Project,,Active
507769: STRATFORD ENERGY NEU (1. Backlog Project),507769,STRATFORD ENERGY NEU,NAM,,1. Backlog Project,,Active
507785: CITY OF LAKELAND FL (1. Backlog Project),507785,CITY OF LAKELAND FL,NAM,,1. Backlog Project,,Active
507793: CAPTAINS COMMAND MBR (1. Backlog Project),507793,CAPTAINS COMMAND MBR,NAM,,1. Backlog Project,,Active
507801: LORNE PARK MFG ENG.O (1. Backlog Project),507801,LORNE PARK MFG ENG.O,NAM,,1. Backlog Project,,Active
507803: HEADWAY 200 GP LOOP (1. Backlog Project),507803,HEADWAY 200 GP LOOP,NAM,,1. Backlog Project,,Active
507811: WIS-PAK HATTIESBURG (1. Backlog Project),507811,WIS-PAK HATTIESBURG,NAM,,1. Backlog Project,,Active
507813: MOBILE DENSADEG XRC (1. Backlog Project),507813,MOBILE DENSADEG XRC,NAM,,1. Backlog Project,,Active
507825: CLIFFSTAR REFRESCO S (1. Backlog Project),507825,CLIFFSTAR REFRESCO S,NAM,,1. Backlog Project,,Active
507859: M52 FLEET EXPANSION- (1. Backlog Project),507859,M52 FLEET EXPANSION-,NAM,,1. Backlog Project,,Active
507868: CENOVUS CLS ENGINEER (1. Backlog Project),507868,CENOVUS CLS ENGINEER,NAM,,1. Backlog Project,,Active
507869: GOODNA LEAP UPGRADE- (1. Backlog Project),507869,GOODNA LEAP UPGRADE-,ANZ,,1. Backlog Project,,Active
507882: CHEVRON BELLE CHASSE (1. Backlog Project),507882,CHEVRON BELLE CHASSE,NAM,,1. Backlog Project,,Active
507884: NANDESAN SURFACE- PR (1. Backlog Project),507884,NANDESAN SURFACE- PR,INDIA,,1. Backlog Project,,Active
507890: JUBAIL CRYSTALLIZATI (1. Backlog Project),507890,JUBAIL CRYSTALLIZATI,MEA,,1. Backlog Project,,Active
507894: COKE MONTGROMERY NF- (1. Backlog Project),507894,COKE MONTGROMERY NF-,NAM,,1. Backlog Project,,Active
507903: EMEA PILOT FLEET MAI (1. Backlog Project),507903,EMEA PILOT FLEET MAI,EUR,,1. Backlog Project,,Active
507911: 3XSWMMF- MEDIA AND L (1. Backlog Project),507911,3XSWMMF- MEDIA AND L,MEA,,1. Backlog Project,,Active
507912: SEMINOLE ELECTRIC PR (1. Backlog Project),507912,SEMINOLE ELECTRIC PR,NAM,,1. Backlog Project,,Active
507928: COGNIZANT CHENNAI-EN (1. Backlog Project),507928,COGNIZANT CHENNAI-EN,INDIA,,1. Backlog Project,,Active
507930: TVA WBN BACKWASH SUM (1. Backlog Project),507930,TVA WBN BACKWASH SUM,NAM,,1. Backlog Project,,Active
507936: LLOYDMINISTER WWT-EN (1. Backlog Project),507936,LLOYDMINISTER WWT-EN,NAM,,1. Backlog Project,,Active
507941: MOBILE MBR/UF500 FIL (1. Backlog Project),507941,MOBILE MBR/UF500 FIL,NAM,,1. Backlog Project,,Active
507942: SEATECH-E-105 (ECON (1. Backlog Project),507942,SEATECH-E-105 (ECON,MEA,,1. Backlog Project,,Active
507953: MOLSONCOORS-PRE-RELE (1. Backlog Project),507953,MOLSONCOORS-PRE-RELE,NAM,,1. Backlog Project,,Active
507956: AFIPSKIY NPZ MBR FUL (1. Backlog Project),507956,AFIPSKIY NPZ MBR FUL,EUR,,1. Backlog Project,,Active
507958: AFIPSKIY NPZ EDR (CO (1. Backlog Project),507958,AFIPSKIY NPZ EDR (CO,EUR,,1. Backlog Project,,Active
507960: COMFIT TEXTILES-ENG~ (1. Backlog Project),507960,COMFIT TEXTILES-ENG~,INDIA,,1. Backlog Project,,Active
507963: NORDIC AQUAFARMS BEL (1. Backlog Project),507963,NORDIC AQUAFARMS BEL,NAM,,1. Backlog Project,,Active
507964: VFD REPLACEMENT FOR (1. Backlog Project),507964,VFD REPLACEMENT FOR,NAM,,1. Backlog Project,,Active
507966: GIRFOLS THERAPEUTICS (1. Backlog Project),507966,GIRFOLS THERAPEUTICS,NAM,,1. Backlog Project,,Active
507969: LOCKWOOD WTP UPGRADE (1. Backlog Project),507969,LOCKWOOD WTP UPGRADE,NAM,,1. Backlog Project,,Active
507970: CAMPARI-JAMAICA CAPI (1. Backlog Project),507970,CAMPARI-JAMAICA CAPI,NAM,,1. Backlog Project,,Active
507986: ASTE 1AB EDR-ENG~AUT (1. Backlog Project),507986,ASTE 1AB EDR-ENG~AUT,EUR,,1. Backlog Project,,Active
507987: JOHNSTOWN CO MBR-PRE (1. Backlog Project),507987,JOHNSTOWN CO MBR-PRE,NAM,,1. Backlog Project,,Active
507996: PILOT-CITY OF SOUTH (1. Backlog Project),507996,PILOT-CITY OF SOUTH,NAM,,1. Backlog Project,,Active
508009: P&D - SALES SUPPORT (1. Backlog Project),508009,P&D - SALES SUPPORT,NAM,,1. Backlog Project,,Active
508033: GRASIM INDUSTRIES LT (1. Backlog Project),508033,GRASIM INDUSTRIES LT,INDIA,,1. Backlog Project,,Active
508037: ANCASTER OZONE AREA (1. Backlog Project),508037,ANCASTER OZONE AREA,NAM,,1. Backlog Project,,Active
508039: TORNOTO NORTH ZEELUN (1. Backlog Project),508039,TORNOTO NORTH ZEELUN,NAM,,1. Backlog Project,,Active
508046: QATAR ACT-ENG~AUTOMA (1. Backlog Project),508046,QATAR ACT-ENG~AUTOMA,MEA,,1. Backlog Project,,Active
508060: 3M CORDOVA IL-PFAS R (1. Backlog Project),508060,3M CORDOVA IL-PFAS R,NAM,,1. Backlog Project,,Active
508071: NIGIGOONSIMINIKAANIN (1. Backlog Project),508071,NIGIGOONSIMINIKAANIN,NAM,,1. Backlog Project,,Active
508082: NUFARM DESIGN-ENG~AU (1. Backlog Project),508082,NUFARM DESIGN-ENG~AU,EUR,,1. Backlog Project,,Active
508085: COKE CHARLOTTE CA-EN (1. Backlog Project),508085,COKE CHARLOTTE CA-EN,NAM,,1. Backlog Project,,Active
508093: PEPSICO RANCHO CUCAM (1. Backlog Project),508093,PEPSICO RANCHO CUCAM,NAM,,1. Backlog Project,,Active
508095: MODELE DECAPITAL PRE (1. Backlog Project),508095,MODELE DECAPITAL PRE,INDIA,,1. Backlog Project,,Active
508096: SOUTH COUNTY REGIONA (1. Backlog Project),508096,SOUTH COUNTY REGIONA,NAM,,1. Backlog Project,,Active
508113: ALABAMA POWER WASHIN (1. Backlog Project),508113,ALABAMA POWER WASHIN,NAM,,1. Backlog Project,,Active
508114: TOWN OF ERIN-PRE-REL (1. Backlog Project),508114,TOWN OF ERIN-PRE-REL,NAM,,1. Backlog Project,,Active
508116: CAIRNS REGIONAL COUN (1. Backlog Project),508116,CAIRNS REGIONAL COUN,ANZ,,1. Backlog Project,,Active
508129: SUPER RO 300 QTY 6 - (1. Backlog Project),508129,SUPER RO 300 QTY 6 -,NAM,,1. Backlog Project,,Active
508131: INTEL F28 SELFCLEANI (1. Backlog Project),508131,INTEL F28 SELFCLEANI,EUR,,1. Backlog Project,,Active
508134: INTEL F38 SPARROW HU (1. Backlog Project),508134,INTEL F38 SPARROW HU,NAM,,1. Backlog Project,,Active
508136: GRACE SULPHUR (ALUMI (1. Backlog Project),508136,GRACE SULPHUR (ALUMI,NAM,,1. Backlog Project,,Active
508143: SEA WATER MULTI-MEDI (1. Backlog Project),508143,SEA WATER MULTI-MEDI,MEA,,1. Backlog Project,,Active
508145: NIAGARA HAZLETON PRE (1. Backlog Project),508145,NIAGARA HAZLETON PRE,NAM,,1. Backlog Project,,Active
508146: NIAGARA JACKSONVILLE (1. Backlog Project),508146,NIAGARA JACKSONVILLE,NAM,,1. Backlog Project,,Active
508150: MARATHON MARTINEZ-EN (1. Backlog Project),508150,MARATHON MARTINEZ-EN,NAM,,1. Backlog Project,,Active
508167: YOONPOON RAIN WATER- (1. Backlog Project),508167,YOONPOON RAIN WATER-,GRC,,1. Backlog Project,,Active
508194: CLEAVELAND WWT SUPER (1. Backlog Project),508194,CLEAVELAND WWT SUPER,NAM,,1. Backlog Project,,Active
508196: VINY THAI WATER RECY (1. Backlog Project),508196,VINY THAI WATER RECY,APAC,,1. Backlog Project,,Active
508199: CITY OF SHAWNEE PRE- (1. Backlog Project),508199,CITY OF SHAWNEE PRE-,NAM,,1. Backlog Project,,Active
508200: OWATONNA WASTEWATER (1. Backlog Project),508200,OWATONNA WASTEWATER,NAM,,1. Backlog Project,,Active
508201: COKE HARAHAN CA TO P (1. Backlog Project),508201,COKE HARAHAN CA TO P,NAM,,1. Backlog Project,,Active
508203: DRY CREEK RANCH PHAS (1. Backlog Project),508203,DRY CREEK RANCH PHAS,NAM,,1. Backlog Project,,Active
508205: WALNUT CREEK WPCP PR (1. Backlog Project),508205,WALNUT CREEK WPCP PR,NAM,,1. Backlog Project,,Active
508208: WD BLDG 6 UV/FILTER- (1. Backlog Project),508208,WD BLDG 6 UV/FILTER-,NAM,,1. Backlog Project,,Active
508243: FINNISH BATTERY CHEM (1. Backlog Project),508243,FINNISH BATTERY CHEM,EUR,,1. Backlog Project,,Active
508246: DIAGEO GIMLI RO-ENG~ (1. Backlog Project),508246,DIAGEO GIMLI RO-ENG~,NAM,,1. Backlog Project,,Active
508261: INTEL F42 UPW 7TH TR (1. Backlog Project),508261,INTEL F42 UPW 7TH TR,NAM,,1. Backlog Project,,Active
508266: NESTLE ANDERSON PRE- (1. Backlog Project),508266,NESTLE ANDERSON PRE-,NAM,,1. Backlog Project,,Active
508270: CE ST MICROELECTRONI (1. Backlog Project),508270,CE ST MICROELECTRONI,EUR,,1. Backlog Project,,Active
508280: STEVENSVILLE WTP - P (1. Backlog Project),508280,STEVENSVILLE WTP - P,NAM,,1. Backlog Project,,Active
508282: RIO TINTO JADAR LIB (1. Backlog Project),508282,RIO TINTO JADAR LIB,EUR,,1. Backlog Project,,Active
508284: COKE WESTON NF TO RO (1. Backlog Project),508284,COKE WESTON NF TO RO,NAM,,1. Backlog Project,,Active
508293: SQM SALAR AS-ENG~AUT (1. Backlog Project),508293,SQM SALAR AS-ENG~AUT,LAM,,1. Backlog Project,,Active
508301: CRYSTAL GEYSER ORLAN (1. Backlog Project),508301,CRYSTAL GEYSER ORLAN,NAM,,1. Backlog Project,,Active
508304: INTEL RA4 MAKEUP TRA (1. Backlog Project),508304,INTEL RA4 MAKEUP TRA,NAM,,1. Backlog Project,,Active
508307: PACE SOLUTIONS RICHA (1. Backlog Project),508307,PACE SOLUTIONS RICHA,NAM,,1. Backlog Project,,Active
508308: FONTERRA TE AWAMUTU- (1. Backlog Project),508308,FONTERRA TE AWAMUTU-,ANZ,,1. Backlog Project,,Active
508309: CITY OF CHANDLER REC (1. Backlog Project),508309,CITY OF CHANDLER REC,NAM,,1. Backlog Project,,Active
508314: FORMOSA 2 WASTEWATER (1. Backlog Project),508314,FORMOSA 2 WASTEWATER,NAM,,1. Backlog Project,,Active
508318: SEKISUI NEW LTSA-ENG (1. Backlog Project),508318,SEKISUI NEW LTSA-ENG,NAM,,1. Backlog Project,,Active
508327: SMITHFIELD FOODS-ENG (1. Backlog Project),508327,SMITHFIELD FOODS-ENG,NAM,,1. Backlog Project,,Active
508344: QATAR QP MESSAID FEE (1. Backlog Project),508344,QATAR QP MESSAID FEE,MEA,,1. Backlog Project,,Active
508348: MSD SINGAPORE-CYRSTA (1. Backlog Project),508348,MSD SINGAPORE-CYRSTA,ANZ,,1. Backlog Project,,Active
508349: PEPSI CHICAGO LTS-EN (1. Backlog Project),508349,PEPSI CHICAGO LTS-EN,NAM,,1. Backlog Project,,Active
508352: GLOBAL FOUNDARIES - (1. Backlog Project),508352,GLOBAL FOUNDARIES -,ANZ,,1. Backlog Project,,Active
508353: HP HOOD AC TOWERS ON (1. Backlog Project),508353,HP HOOD AC TOWERS ON,NAM,,1. Backlog Project,,Active
508356: THERMA LAM UHP-ENG~D (1. Backlog Project),508356,THERMA LAM UHP-ENG~D,NAM,,1. Backlog Project,,Active
508359: INSTALL NEW TOC ANAL (1. Backlog Project),508359,INSTALL NEW TOC ANAL,APAC,,1. Backlog Project,,Active
508364: GE HEALTHCARE ED-ENG (1. Backlog Project),508364,GE HEALTHCARE ED-ENG,EUR,,1. Backlog Project,,Active
508365: SOLVAY MELLE-ENG~ELE (1. Backlog Project),508365,SOLVAY MELLE-ENG~ELE,EUR,,1. Backlog Project,,Active
508376: MEKOROT YARKON RIVER (1. Backlog Project),508376,MEKOROT YARKON RIVER,EUR,,1. Backlog Project,,Active
508377: COLUMBIA POWER & WAT (1. Backlog Project),508377,COLUMBIA POWER & WAT,NAM,,1. Backlog Project,,Active
508378: LAWCO NEW IBERIA-ENG (1. Backlog Project),508378,LAWCO NEW IBERIA-ENG,NAM,,1. Backlog Project,,Active
508379: WESTERN DIGITAL BACT (1. Backlog Project),508379,WESTERN DIGITAL BACT,NAM,,1. Backlog Project,,Active
508384: NESTLE WATERS SUD SU (1. Backlog Project),508384,NESTLE WATERS SUD SU,EUR,,1. Backlog Project,,Active
508385: NRG TX UTILITIES - C (1. Backlog Project),508385,NRG TX UTILITIES - C,NAM,,1. Backlog Project,,Active
508390: PEPSICO SABRITAS (PE (1. Backlog Project),508390,PEPSICO SABRITAS (PE,LAM,,1. Backlog Project,,Active
508395: GODS LAKE FIRST NATI (1. Backlog Project),508395,GODS LAKE FIRST NATI,NAM,,1. Backlog Project,,Active
508401: PEPSI RIVIERA BEACH (1. Backlog Project),508401,PEPSI RIVIERA BEACH,NAM,,1. Backlog Project,,Active
508408: TE KAUWHATA-ENG~DOC (1. Backlog Project),508408,TE KAUWHATA-ENG~DOC,ANZ,,1. Backlog Project,,Active
508413: QUALCOMM LSR RECLAIM (1. Backlog Project),508413,QUALCOMM LSR RECLAIM,APAC,,1. Backlog Project,,Active
508417: MP MATERIALS GEA-ENG (1. Backlog Project),508417,MP MATERIALS GEA-ENG,NAM,,1. Backlog Project,,Active
508421: BERENS RIVER - PRE-R (1. Backlog Project),508421,BERENS RIVER - PRE-R,NAM,,1. Backlog Project,,Active
508423: DOOR REPAIR UNIT RO (1. Backlog Project),508423,DOOR REPAIR UNIT RO,NAM,,1. Backlog Project,,Active
508438: JOHNSON MATTHEY SALT (1. Backlog Project),508438,JOHNSON MATTHEY SALT,EUR,,1. Backlog Project,,Active
508444: CAROLINA BEVERAGE TE (1. Backlog Project),508444,CAROLINA BEVERAGE TE,NAM,,1. Backlog Project,,Active
508458: BMT-2021: PO STORAGE (1. Backlog Project),508458,BMT-2021: PO STORAGE,NAM,,1. Backlog Project,,Active
508468: 3M DECATUR 5 YEAR EX (1. Backlog Project),508468,3M DECATUR 5 YEAR EX,NAM,,1. Backlog Project,,Active
508469: KINETICS MALAYSIA IN (1. Backlog Project),508469,KINETICS MALAYSIA IN,ANZ,,1. Backlog Project,,Active
508472: KIEWIT INFRASTRUCTUR (1. Backlog Project),508472,KIEWIT INFRASTRUCTUR,NAM,,1. Backlog Project,,Active
508494: CHANDIGARH MUNI CORP (1. Backlog Project),508494,CHANDIGARH MUNI CORP,INDIA,,1. Backlog Project,,Active
508497: TRI-TOWN WTP-AQUADAF (1. Backlog Project),508497,TRI-TOWN WTP-AQUADAF,NAM,,1. Backlog Project,,Active
508498: NIAGARA HOUSTON 2 WA (1. Backlog Project),508498,NIAGARA HOUSTON 2 WA,NAM,,1. Backlog Project,,Active
508500: CHOBANI CITY WATER P (1. Backlog Project),508500,CHOBANI CITY WATER P,NAM,,1. Backlog Project,,Active
508523: JAPAN TOBACCO 240KLD (1. Backlog Project),508523,JAPAN TOBACCO 240KLD,INDIA,,1. Backlog Project,,Active
508543: DELTAFLOW GEN5 FABRI (1. Backlog Project),508543,DELTAFLOW GEN5 FABRI,ANZ,,1. Backlog Project,,Active
508549: WEB ARUBA NEW LP FEE (1. Backlog Project),508549,WEB ARUBA NEW LP FEE,NAM,,1. Backlog Project,,Active
508581: CHEMOURS BARRIER WAL (1. Backlog Project),508581,CHEMOURS BARRIER WAL,NAM,,1. Backlog Project,,Active
508587: MEQP_QTY 4 LEAD-MID- (1. Backlog Project),508587,MEQP_QTY 4 LEAD-MID-,NAM,,1. Backlog Project,,Active
508613: MOBILE MBR/UF FILTRA (1. Backlog Project),508613,MOBILE MBR/UF FILTRA,NAM,,1. Backlog Project,,Active
508614: CHISASIBI DWPT-ENG~D (1. Backlog Project),508614,CHISASIBI DWPT-ENG~D,NAM,,1. Backlog Project,,Active
508617: MPAK80 QTY 6 - 2022- (1. Backlog Project),508617,MPAK80 QTY 6 - 2022-,NAM,,1. Backlog Project,,Active
508627: SEATECH-E-105 (ECON (1. Backlog Project),508627,SEATECH-E-105 (ECON,MEA,,1. Backlog Project,,Active
508628: EXXON MBR-ENG~PROJEC (1. Backlog Project),508628,EXXON MBR-ENG~PROJEC,APAC,,1. Backlog Project,,Active
508633: Auburn WWTP UV (1. Backlog Project),508633,Auburn WWTP UV,NAM,,1. Backlog Project,Prod(UV),Active
"508657: R-000936 HOUSTON, TX (1. Backlog Project)",508657,"R-000936 HOUSTON, TX",NAM,,1. Backlog Project,,Active
508660: R-000963 ELSINORE VA (1. Backlog Project),508660,R-000963 ELSINORE VA,NAM,,1. Backlog Project,,Active
508664: R-001043 LAKE DEFORE (1. Backlog Project),508664,R-001043 LAKE DEFORE,NAM,,1. Backlog Project,,Active
508665: R-001103 JENSEN PSU (1. Backlog Project),508665,R-001103 JENSEN PSU,NAM,,1. Backlog Project,,Active
"508666: R-001141 DALLAS, TX- (1. Backlog Project)",508666,"R-001141 DALLAS, TX-",NAM,,1. Backlog Project,,Active
508697: SRO600 FABRICATION O (1. Backlog Project),508697,SRO600 FABRICATION O,APAC,,1. Backlog Project,,Active
508703: 3M COTTAGE GROVE - P (1. Backlog Project),508703,3M COTTAGE GROVE - P,NAM,,1. Backlog Project,,Active
